"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV4174","Bacteria","Proteobacteria","Gammaproteobacteria","Beggiatoales","Beggiatoaceae","Candidatus_Marithioploca",NA
"ASV4205","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Facklamia",NA
"ASV4214","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Macrococcus",NA
"ASV4223","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Parachlamydiaceae","Candidatus_Rubidus",NA
"ASV4233","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Parachlamydiaceae","Neochlamydia",NA
"ASV4272","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonas",NA
"ASV4276","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia",NA
"ASV4288","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfosporosinus",NA
"ASV4293","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Wandonia",NA
"ASV4297","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Sporomusa",NA
"ASV4298","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Pelosinus",NA
"ASV4300","Bacteria","Proteobacteria","Gammaproteobacteria","Beggiatoales","Beggiatoaceae","Beggiatoa",NA
"ASV4319","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","Pseudenhygromyxa",NA
"ASV4321","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus",NA
"ASV4370","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Aphanizomenon_MDT14a",NA
"ASV4428","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Vulgatibacteraceae","Vulgatibacter",NA
"ASV4464","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-014",NA
"ASV4479","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","Elusimicrobiaceae","Elusimicrobium",NA
"ASV4492","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Acetobacterium",NA
"ASV4513","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenella",NA
"ASV4533","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","GCA-900066225",NA
"ASV4547","Bacteria","Cyanobacteria","Oxyphotobacteria","Limnotrichales","Limnotrichaceae","Limnothrix",NA
"ASV4549","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia",NA
"ASV4559","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Anaerospora",NA
"ASV4582","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Flectobacillus",NA
"ASV4616","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","CL500-3",NA
